"labels(n)","n.valid_until","n.country_codes","n.countries","n.node_id","n.sourceID","n.address","n.name","n.jurisdiction_description","n.service_provider","n.jurisdiction","n.closed_date","n.incorporation_date","n.ibcRUC","n.type","n.status","n.company_type","n.note"
"[""Intermediary""]","The Panama Papers  data is current through 2015","ISR","Israel","11008019","Panama Papers","","UFX GROUP LTD","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ISR","Israel","11008020","Panama Papers","","SHLOMO HAZAN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ISR","Israel","11008021","Panama Papers","","MICHAEL WEITZ","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","MEX","Mexico","11008022","Panama Papers","NICOLÁS GRANJA SUR 7 # 131 COLONIA CENTRO ORIZABA MEXICO","NICOLÁS GRANJA","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ZAF","South Africa","11008024","Panama Papers","ROYDEN ROCHE & CO. P.O. BOX 61717 MARSHALLTOWN 2107 SOUTH AFRICA","ROYDEN ROCHE & CO.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","MYS","Malaysia","11008026","Panama Papers","MR. GERARD FITZGERALD 695B BEACH PARK TANJUNG BATU 97000 BINTULU SARAWAK MALAYSIA","FITZGERALD, GERARD","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LUX","Luxembourg","11008029","Panama Papers","MR. JOST DEX MOSSACK FONSECA & CO. (LUXEMBOURG) S.A.R.L. 58A, RUE PRINCIPALE L-6990 RAMELDANGE LUXEMBOURG","DEX, JOST","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","FRA","France","11008030","Panama Papers","MR. FABRICE BIMET 45, AVENUE DU GENERAL DE GAULLE F-87 COURCELLES-CHAUSSY FRANCE","BIMET, FABRICE","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LUX","Luxembourg","11008023","Panama Papers","BAUMANN & PARTNERS S.A. 145; RUE DE TRÈVES LUXEMBOURG CITY L2630; LUXEMBOURG DISTRICT LUXEMBOURG","BAUMANN & PARTNERS S.A.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","LUX","Luxembourg","11008025","Panama Papers","PENNING-SCHILTZ-WURTH ATTN.: MR. PIERRE-OLIVIER WURTH  18, RUE ROBERT STÜMPER  L-2557 LUXEMBOURG","PENNING-SCHILTZ-WURTH","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","SGP","Singapore","11008027","Panama Papers","MOSSACK FONSECA & CO. (SINGAPORE) PTE LTD.  19 KEPPEL ROAD #03-05, 3RD STOREY JIT POH BUILDING SINGAPORE 089058 REPUBLIC OF SINGAPORE *S.I.*","MOSSACK FONSECA & CO. (SINGAPORE) PTE LTD.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008028","Panama Papers","POWER SOURCE CONSULTING LIMITED 401; 4/F; CROCODILE HOUSE II 54-56 CONNAUGHT ROAD CENTRAL; HONG KONG","POWER SOURCE CONSULTING LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008031","Panama Papers","M-BO SECRETARIAL SERVICES LTD. UNIT A; 6/F.; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD  CENTRAL; HONG KONG","M-BO SECRETARIAL SERVICES LTD.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11008034","Panama Papers","CAMINADA MANAGEMENT LIMITED LINDENSTRASSE 16, CH-6304 BAAR POSTADRESSE POSTFACH 2068 BAAERERSTRASSE 112 CH-6302 ZUG SWITZERLAND","CAMINADA MANAGEMENT LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008036","Panama Papers","","MR JOSEPH B ATIJOSAN","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008037","Panama Papers","","BANQUE MULTI COMMERCIAL","","","","","","","","ACTIVE","",""
